**************************** COBRA-TF output file ****************************
**************************** heat_balance.out       ****************************
 
 Global heat balance
 ===================
 
No. of   | Total time |Power supply | Inlet power| Outlet power|Power stored |Power stored| Relation      | Deviation of
time step|            |(inner clad. | of coolant | of coolant  |(rod clad. + | in coolant | stored power  | heat balance
(nstep)  | (timet)    |+direct vol.)|            |             |unheat.cond.)|            | / power supply|
   [-]   |   [s]      |    [kW]     |    [kW]    |    [kW]     |    [kW]     |    [kW]    |               |
===========================================================================================================================
    10        0.0000   349922.0000     5041.6680        4.4411344688960.0000   145106.7344     98545.98 %    -97046.30 %
    20        0.0002   349922.0000    37509.0859       76.7776336991296.0000    66553.4062     96323.70 %    -86898.16 %
    30        0.0012   349922.0000   238539.4844     2374.2734324108704.0000   268320.5312     92699.80 %    -55023.30 %
    40        0.0072   349922.0000  1452338.5000  1217245.6250-57676400.0000   650562.1250    -16296.73 %      3196.59 %
    50        0.0213   349922.0000  4311436.5000  4484518.0000-40109120.0000   216531.8906    -11400.42 %       859.61 %
    60        0.0444   349922.0000  8968584.0000  9198836.0000 -7515224.0000   126919.2344     -2111.41 %        80.57 %
    70        0.0820   349922.0000 16554587.0000 16783362.0000 -1977690.8750   123034.0547      -530.02 %        11.69 %
    80        0.1370   349922.0000 20200092.0000 20437670.0000  -227048.1250   112257.5625       -32.80 %         1.11 %
    90        0.2189   349922.0000 20200092.0000 20437808.0000    62313.5195   112076.1953        49.84 %        -0.30 %
   100        0.3189   349922.0000 20200092.0000 20445484.0000    74361.4766   104391.0781        51.08 %        -0.36 %
   110        0.4189   349922.0000 20200092.0000 20454474.0000    68794.3984    95447.3672        46.94 %        -0.33 %
   120        0.5189   349922.0000 20200092.0000 20464060.0000    61788.4570    85880.5937        42.20 %        -0.30 %
   130        0.6189   349922.0000 20200092.0000 20473900.0000    54619.6992    76026.9453        37.34 %        -0.27 %
   140        0.7189   349922.0000 20200092.0000 20483884.0000    47436.1016    66055.4375        32.43 %        -0.23 %
   150        0.8189   349922.0000 20200092.0000 20493936.0000    40246.3008    56005.2695        27.51 %        -0.20 %
   160        0.9189   349922.0000 20200092.0000 20503970.0000    33021.8047    45989.0742        22.58 %        -0.16 %
   170        1.0189   349922.0000 20200092.0000 20513788.0000    25923.2559    36181.9219        17.75 %        -0.13 %
   180        1.1189   349922.0000 20200092.0000 20522976.0000    19244.9941    27002.9785        13.22 %        -0.09 %
   190        1.2189   349922.0000 20200092.0000 20531034.0000    13370.4707    18963.0137         9.24 %        -0.06 %
   200        1.3189   349922.0000 20200092.0000 20537536.0000     8644.0439    12465.5820         6.03 %        -0.04 %
   210        1.4189   349922.0000 20200092.0000 20542330.0000     5189.6396     7679.4600         3.68 %        -0.03 %
   220        1.5189   349922.0000 20200092.0000 20545560.0000     2886.2646     4452.3608         2.10 %        -0.01 %
   230        1.6189   349922.0000 20200092.0000 20547568.0000     1492.9666     2441.5283         1.12 %        -0.01 %
   240        1.7189   349922.0000 20200092.0000 20548720.0000      711.1813     1282.6707         0.57 %         0.00 %
   250        1.8189   349922.0000 20200092.0000 20549350.0000      319.4728      659.0658         0.28 %         0.00 %
   260        1.9189   349922.0000 20200092.0000 20549676.0000      142.9297      339.8286         0.14 %         0.00 %
   270        2.0189   349922.0000 20200092.0000 20549830.0000       62.2588      184.3681         0.07 %         0.00 %
   280        2.1189   349922.0000 20200092.0000 20549918.0000       18.5214      102.2547         0.03 %         0.00 %
   290        2.2189   349922.0000 20200092.0000 20549954.0000       10.4563       68.5137         0.02 %         0.00 %
   300        2.3189   349922.0000 20200092.0000 20549968.0000       -2.1954       51.4038         0.01 %         0.00 %
   310        2.4189   349922.0000 20200092.0000 20549986.0000        3.7046       43.2507         0.01 %         0.00 %
   320        2.5189   349922.0000 20200092.0000 20549998.0000       -6.7837       40.2852         0.01 %         0.00 %
   330        2.6189   349922.0000 20200092.0000 20549998.0000       -2.5929       40.2784         0.01 %         0.00 %
   340        2.7189   349922.0000 20200092.0000 20549992.0000       -3.1917       42.3352         0.01 %         0.00 %
   350        2.8189   349922.0000 20200092.0000 20549994.0000        0.1045       44.7167         0.01 %         0.00 %
   360        2.9189   349922.0000 20200092.0000 20550002.0000       -5.9598       46.2089         0.01 %         0.00 %
   370        3.0189   349922.0000 20200092.0000 20550004.0000       -7.3199       46.5211         0.01 %         0.00 %
   380        3.1189   349922.0000 20200092.0000 20550006.0000       -5.5385       47.0550         0.01 %         0.00 %
   390        3.2189   349922.0000 20200092.0000 20550012.0000       -6.0503       51.8505         0.01 %         0.00 %
   400        3.3189   349922.0000 20200092.0000 20550000.0000       -2.2474       58.8265         0.02 %         0.00 %
   410        3.4189   349922.0000 20200092.0000 20549998.0000       -3.2140       63.2990         0.02 %         0.00 %
   420        3.5189   349922.0000 20200092.0000 20550000.0000       -0.4813       63.3886         0.02 %         0.00 %
   430        3.6189   349922.0000 20200092.0000 20549998.0000        1.3716       62.8912         0.02 %         0.00 %
   440        3.7189   349922.0000 20200092.0000 20549998.0000       -0.4073       63.3726         0.02 %         0.00 %
   450        3.8189   349922.0000 20200092.0000 20549998.0000        1.2206       63.5249         0.02 %         0.00 %
   460        3.9189   349922.0000 20200092.0000 20549998.0000        1.1016       63.2571         0.02 %         0.00 %
   470        4.0020   372599.9688 20200092.0000 20550000.0000    22680.2246      642.5115         6.26 %         0.00 %
   480        4.0120   373220.6250 20200092.0000 20550014.0000    23270.8809      651.3606         6.41 %         0.00 %
   490        4.0220   373182.2812 20200092.0000 20550066.0000    23144.2539      579.2101         6.36 %         0.00 %
   500        4.0320   373124.8750 20200092.0000 20550134.0000    22969.5508      567.9252         6.31 %         0.00 %
   510        4.0420   373087.3125 20200092.0000 20550224.0000    22799.6328      556.1521         6.26 %         0.00 %
   520        4.0520   373027.4062 20200092.0000 20550294.0000    22599.5332      715.9154         6.25 %         0.00 %
   530        4.0620   372978.9062 20200092.0000 20550402.0000    22402.7305      724.3127         6.20 %         0.00 %
   540        4.0720   372933.5938 20200092.0000 20550472.0000    22215.7227      837.2971         6.18 %         0.00 %
   550        4.0820   372893.1875 20200092.0000 20550558.0000    22031.2949      777.2870         6.12 %         0.00 %
   560        4.0920   372851.3438 20200092.0000 20550642.0000    21844.0605      886.4117         6.10 %         0.00 %
   570        4.1020   372793.8750 20200092.0000 20550716.0000    21644.8223      950.7076         6.06 %         0.00 %
